TIA,Albania,AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/,1,4.3068,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:Fuel Release - minimum 24 hours in advance 2) Operating Hours: OPS: 03:00 - 21:00 / Out of hours fuelling available - 24 Hours notice required 3) Ramps serviced:Can fuel on military apron 4) Additional Information: VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jan-19
TTD,United States,GORGE WINDS AVIATION INC.-A/EPIC AVIATION LLC/,1001,4.11389, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TTN,United States,"FLIGHTSERV, LLC-A/AVFUEL CORP/",1,6.51719, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
TTN,United States,"FLIGHTSERV, LLC-A/AVFUEL CORP/",301,6.26719, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
TTN,United States,"FLIGHTSERV, LLC-A/AVFUEL CORP/",601,6.01719, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
TTN,United States,"FLIGHTSERV, LLC-A/AVFUEL CORP/",901,5.81719, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
TTN,United States,SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/,1,6.73426, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,06-Aug-19
TTN,United States,SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/,501,6.49426, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,06-Aug-19
TTN,United States,SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/,1201,6.23426, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,06-Aug-19
TUL,United States,BIZ JET-A/BIZJET INTERNATIONAL SALES & SUPPORT/,1,3.70926, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,BIZ JET-A/BIZJET INTERNATIONAL SALES & SUPPORT/,1001,3.65926, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,1,6.15447, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,101,5.95447, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,201,5.85447, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,301,5.65447, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,401,5.45447, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,501,5.15447, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,1001,4.85447, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,1501,4.75447, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,1,6.12699, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,101,5.92699, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,201,5.82699, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,301,5.62699, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,401,5.42699, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,501,5.12699, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,1001,4.82699, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,ATLANTIC AVIATION-FBO-A/WORLD FUEL SERVICES INC/TRUCK,1501,4.72699, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: CHARLIE @ HOTEL HOTEL AND CHARLIE @ SIERRA SIERRA 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,SPARKS AVIATION CENTER-A/SPARKS AVIATION CENTER/,1,3.76136, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,SPARKS AVIATION CENTER-A/SPARKS AVIATION CENTER/,1501,3.71136, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,LEGACY JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,1,3.83748, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,LEGACY JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,151,3.78748, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,LEGACY JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,251,3.73748, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,LEGACY JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,501,3.68748, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,LEGACY JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,751,3.63748, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,LEGACY JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,1001,3.58748, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,LEGACY JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,1501,3.53748, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,UNITED STATES AVIATION-A/AVFUEL CORP/,1,3.77796, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
TUL,United States,TULSAIR BEECHCRAFT-A/PHILLIPS 66 COMPANY/,1,3.93698, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,TULSAIR BEECHCRAFT-A/PHILLIPS 66 COMPANY/,501,3.83698, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,TULSAIR BEECHCRAFT-A/PHILLIPS 66 COMPANY/,1001,3.73698, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,TULSAIR BEECHCRAFT-A/PHILLIPS 66 COMPANY/,2001,3.63698, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUL,United States,TULSAIR BEECHCRAFT-A/PHILLIPS 66 COMPANY/,3001,3.53698, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced:OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUP,United States,TUPELO AVIATION UNLT-A/AVFUEL CORP/,1,4.68173, **Price for fuel item: JETA-ADDITIVE **,"HOURS = 0600 to 2200, with 24 hr call out available",04-Aug-19
TUS,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,1,5.96931, **Price for fuel item: JET FUEL**,"1) Minimum Notice Required: None 2) Ramps serviced: CARGO, TERMINAL AND OWN RAMP 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com",31-Jul-19
TUS,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,101,5.66931, **Price for fuel item: JET FUEL**,"1) Minimum Notice Required: None 2) Ramps serviced: CARGO, TERMINAL AND OWN RAMP 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com",31-Jul-19
TUS,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,251,5.36931, **Price for fuel item: JET FUEL**,"1) Minimum Notice Required: None 2) Ramps serviced: CARGO, TERMINAL AND OWN RAMP 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com",31-Jul-19
TUS,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,351,5.16931, **Price for fuel item: JET FUEL**,"1) Minimum Notice Required: None 2) Ramps serviced: CARGO, TERMINAL AND OWN RAMP 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com",31-Jul-19
TUS,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,501,4.96931, **Price for fuel item: JET FUEL**,"1) Minimum Notice Required: None 2) Ramps serviced: CARGO, TERMINAL AND OWN RAMP 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com",31-Jul-19
TUS,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,1001,4.86931, **Price for fuel item: JET FUEL**,"1) Minimum Notice Required: None 2) Ramps serviced: CARGO, TERMINAL AND OWN RAMP 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com",31-Jul-19
TUS,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,1501,4.76931, **Price for fuel item: JET FUEL**,"1) Minimum Notice Required: None 2) Ramps serviced: CARGO, TERMINAL AND OWN RAMP 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com",31-Jul-19
TUS,United States,TUCSON JET CENTER-A/TUCSON JET CENTER/,1,4.05121, **Price for fuel item: JET FUEL**,"1) Minimum Notice Required: None 2) Ramps serviced: CARGO, ASCENT MAINT RAMP, COCHISE RAMP AND TERMINAL EXCEPT OTHER FBO RAMPS 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com",09-Jul-19
TUS,United States,TUCSON JET CENTER-A/TUCSON JET CENTER/,251,4.00121, **Price for fuel item: JET FUEL**,"1) Minimum Notice Required: None 2) Ramps serviced: CARGO, ASCENT MAINT RAMP, COCHISE RAMP AND TERMINAL EXCEPT OTHER FBO RAMPS 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com",09-Jul-19
TUS,United States,TUCSON JET CENTER-A/TUCSON JET CENTER/,501,3.95121, **Price for fuel item: JET FUEL**,"1) Minimum Notice Required: None 2) Ramps serviced: CARGO, ASCENT MAINT RAMP, COCHISE RAMP AND TERMINAL EXCEPT OTHER FBO RAMPS 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com",09-Jul-19
TUS,United States,TUCSON JET CENTER-A/TUCSON JET CENTER/,1001,3.85121, **Price for fuel item: JET FUEL**,"1) Minimum Notice Required: None 2) Ramps serviced: CARGO, ASCENT MAINT RAMP, COCHISE RAMP AND TERMINAL EXCEPT OTHER FBO RAMPS 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com",09-Jul-19
TUS,United States,BOMBARDIER AEROSPACE-A/AVFUEL CORP/,1,4.38669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: MAINTENANCE RAMP ONLY 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,BOMBARDIER AEROSPACE-A/AVFUEL CORP/,501,4.33669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: MAINTENANCE RAMP ONLY 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,BOMBARDIER AEROSPACE-A/AVFUEL CORP/,1001,4.28669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: MAINTENANCE RAMP ONLY 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,BOMBARDIER AEROSPACE-A/AVFUEL CORP/,2001,4.23669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: MAINTENANCE RAMP ONLY 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,BOMBARDIER AEROSPACE-A/AVFUEL CORP/,4001,4.18669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: MAINTENANCE RAMP ONLY 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,PREMIER AVIATION-A/AVFUEL CORP/,1,4.27669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,PREMIER AVIATION-A/AVFUEL CORP/,201,4.18669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,PREMIER AVIATION-A/AVFUEL CORP/,501,4.13669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,PREMIER AVIATION-A/AVFUEL CORP/,1001,4.08669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,MILLION AIR TUCSON-A/AVFUEL CORP/,1,4.93669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,MILLION AIR TUCSON-A/AVFUEL CORP/,201,4.83669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,MILLION AIR TUCSON-A/AVFUEL CORP/,501,4.78669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TUS,United States,MILLION AIR TUCSON-A/AVFUEL CORP/,1001,4.68669, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TVC,United States,AVFLIGHT TRAVERSE CITY-A/AVFUEL CORP/,1,6.56708, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
TVC,United States,AVFLIGHT TRAVERSE CITY-A/AVFUEL CORP/,501,6.35508, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
TVC,United States,AVFLIGHT TRAVERSE CITY-A/AVFUEL CORP/,1001,6.14308, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
TVC,United States,AVFLIGHT TRAVERSE CITY-A/AVFUEL CORP/,2001,5.71908, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
TWF,United States,REEDER FLYING SVS-A/AVFUEL CORP/,1,5.00414, **Price for fuel item: JET FUEL**,"HOURS OF OPERATIONS: M-FR (0600 - 1830) SAT (0900-1700) SUN (0900, 1500). //PRIST AVAILABLE//UNICOM 122.95// AFTER HOURS OPERATION (OVER TIME FEE OF $50 PER HOUR UNTIL 2200, ANYTHING PAST 2200 $100 CALL OUT FEE.",30-Jul-19
TWF,United States,REEDER FLYING SVS-A/AVFUEL CORP/,301,4.90414, **Price for fuel item: JET FUEL**,"HOURS OF OPERATIONS: M-FR (0600 - 1830) SAT (0900-1700) SUN (0900, 1500). //PRIST AVAILABLE//UNICOM 122.95// AFTER HOURS OPERATION (OVER TIME FEE OF $50 PER HOUR UNTIL 2200, ANYTHING PAST 2200 $100 CALL OUT FEE.",30-Jul-19
TWF,United States,REEDER FLYING SVS-A/AVFUEL CORP/,501,4.80414, **Price for fuel item: JET FUEL**,"HOURS OF OPERATIONS: M-FR (0600 - 1830) SAT (0900-1700) SUN (0900, 1500). //PRIST AVAILABLE//UNICOM 122.95// AFTER HOURS OPERATION (OVER TIME FEE OF $50 PER HOUR UNTIL 2200, ANYTHING PAST 2200 $100 CALL OUT FEE.",30-Jul-19
TWF,United States,REEDER FLYING SVS-A/AVFUEL CORP/,1001,4.75414, **Price for fuel item: JET FUEL**,"HOURS OF OPERATIONS: M-FR (0600 - 1830) SAT (0900-1700) SUN (0900, 1500). //PRIST AVAILABLE//UNICOM 122.95// AFTER HOURS OPERATION (OVER TIME FEE OF $50 PER HOUR UNTIL 2200, ANYTHING PAST 2200 $100 CALL OUT FEE.",30-Jul-19
TWF,United States,REEDER FLYING SVS-A/AVFUEL CORP/,1501,4.70414, **Price for fuel item: JET FUEL**,"HOURS OF OPERATIONS: M-FR (0600 - 1830) SAT (0900-1700) SUN (0900, 1500). //PRIST AVAILABLE//UNICOM 122.95// AFTER HOURS OPERATION (OVER TIME FEE OF $50 PER HOUR UNTIL 2200, ANYTHING PAST 2200 $100 CALL OUT FEE.",30-Jul-19
TWF,United States,REEDER FLYING SVS-A/AVFUEL CORP/,2001,4.65414, **Price for fuel item: JET FUEL**,"HOURS OF OPERATIONS: M-FR (0600 - 1830) SAT (0900-1700) SUN (0900, 1500). //PRIST AVAILABLE//UNICOM 122.95// AFTER HOURS OPERATION (OVER TIME FEE OF $50 PER HOUR UNTIL 2200, ANYTHING PAST 2200 $100 CALL OUT FEE.",30-Jul-19
TWF,United States,REEDER FLYING SVS-A/AVFUEL CORP/,2501,4.60414, **Price for fuel item: JET FUEL**,"HOURS OF OPERATIONS: M-FR (0600 - 1830) SAT (0900-1700) SUN (0900, 1500). //PRIST AVAILABLE//UNICOM 122.95// AFTER HOURS OPERATION (OVER TIME FEE OF $50 PER HOUR UNTIL 2200, ANYTHING PAST 2200 $100 CALL OUT FEE.",30-Jul-19
TXK,United States,TAC AIR-A/TAC AIR DBA TRUMAN ARNOLD COMPANIES/,1,5.3263, **Price for fuel item: JET FUEL**,N/A,05-Aug-19
TXK,United States,TAC AIR-A/TAC AIR DBA TRUMAN ARNOLD COMPANIES/,500,4.77505, **Price for fuel item: JET FUEL**,N/A,05-Aug-19
TXK,United States,TAC AIR-A/TAC AIR DBA TRUMAN ARNOLD COMPANIES/,1000,4.27893, **Price for fuel item: JET FUEL**,N/A,05-Aug-19
TYQ,United States,FIRST WING JET CENTER-A/AVFUEL CORP/,1,5.19652, **Price for fuel item: JET FUEL**,N/A,30-Jul-19
TYQ,United States,FIRST WING JET CENTER-A/AVFUEL CORP/,251,4.99652, **Price for fuel item: JET FUEL**,N/A,30-Jul-19
TYQ,United States,FIRST WING JET CENTER-A/AVFUEL CORP/,501,4.89652, **Price for fuel item: JET FUEL**,N/A,30-Jul-19
TYQ,United States,FIRST WING JET CENTER-A/AVFUEL CORP/,751,4.49652, **Price for fuel item: JET FUEL**,N/A,30-Jul-19
TYR,United States,JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,1,4.0625, **Price for fuel item: JET FUEL**,HOURS = 0600 to 2200....AFTER HRS CALL OUT FEE $75.00,05-Aug-19
TYR,United States,JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,401,3.9125, **Price for fuel item: JET FUEL**,HOURS = 0600 to 2200....AFTER HRS CALL OUT FEE $75.00,05-Aug-19
TYR,United States,JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,701,3.7625, **Price for fuel item: JET FUEL**,HOURS = 0600 to 2200....AFTER HRS CALL OUT FEE $75.00,05-Aug-19
TYR,United States,JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,1001,3.5225, **Price for fuel item: JET FUEL**,HOURS = 0600 to 2200....AFTER HRS CALL OUT FEE $75.00,05-Aug-19
