"TIA","Albania","AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/",1,4.18233,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Please note that the only card BP accept is their own Sterling Card therefor please pre-arrange fuel.///VAT applies for domestic flights. Able to access the military apron","15-JAN-2019"
"PAE","United States","CASTLE AND COOKE AVIATION-A/CASTLE AND COOKE AVIATION/TRUCK",1500,99999,"Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Available, Callout fee $500 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","23-OCT-2018"
"PAE","United States","CASTLE AND COOKE AVIATION-A/CASTLE AND COOKE AVIATION/TRUCK",2500,99999,"Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Available, Callout fee $500 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","23-OCT-2018"
"PAE","United States","CASTLE AND COOKE AVIATION-A/CASTLE AND COOKE AVIATION/TRUCK",5000,99999,"Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Available, Callout fee $500 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","23-OCT-2018"
"PAH","United States","MIDWEST AVIATION-A/PHILLIPS 66 COMPANY/",1,4.23985," **Price for fuel item: JET FUEL**",">","15-JAN-2019"
"PAH","United States","MIDWEST AVIATION-A/PHILLIPS 66 COMPANY/",201,4.20805," **Price for fuel item: JET FUEL**",">","15-JAN-2019"
"PAO","United States","ROSSI AIRCRAFT, INC.-A/AVFUEL CORP/",1,4.75885," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PBG","United States","EAGLE AVIATION SERVICES-A/EASTERN AVIATION FUELS INC/",1,5.52821," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Callout fee $180 and $60 per hour after. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PBG","United States","EAGLE AVIATION SERVICES-A/EASTERN AVIATION FUELS INC/",301,5.26821," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Callout fee $180 and $60 per hour after. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PBG","United States","EAGLE AVIATION SERVICES-A/EASTERN AVIATION FUELS INC/",501,4.74821," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Callout fee $180 and $60 per hour after. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PBG","United States","EAGLE AVIATION SERVICES-A/EASTERN AVIATION FUELS INC/",1001,4.38421," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Callout fee $180 and $60 per hour after. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PBI","United States","JET AVIATION-A/JET AVIATION ASSOCIATES LTD D/B/A JET AVIATION PALM BEACH/",1,4.63872," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Minimum uplift required to waive handling or NO FUEL fees that are calculated based on aircraft size and type. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PBI","United States","JET AVIATION-A/JET AVIATION ASSOCIATES LTD D/B/A JET AVIATION PALM BEACH/",251,4.53872," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Minimum uplift required to waive handling or NO FUEL fees that are calculated based on aircraft size and type. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PBI","United States","JET AVIATION-A/JET AVIATION ASSOCIATES LTD D/B/A JET AVIATION PALM BEACH/",501,4.33872," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Minimum uplift required to waive handling or NO FUEL fees that are calculated based on aircraft size and type. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PBI","United States","JET AVIATION-A/JET AVIATION ASSOCIATES LTD D/B/A JET AVIATION PALM BEACH/",1001,4.28872," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Minimum uplift required to waive handling or NO FUEL fees that are calculated based on aircraft size and type. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PBI","United States","JET AVIATION-A/JET AVIATION ASSOCIATES LTD D/B/A JET AVIATION PALM BEACH/",2001,4.20872," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Minimum uplift required to waive handling or NO FUEL fees that are calculated based on aircraft size and type. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PBI","United States","ATLANTIC AVIATION-A/ATLANTIC AVIATION-FLORIDA INC/TRUCK",1,4.72312," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PBI","United States","ATLANTIC AVIATION-A/ATLANTIC AVIATION-FLORIDA INC/TRUCK",325,4.62312," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PBI","United States","ATLANTIC AVIATION-A/ATLANTIC AVIATION-FLORIDA INC/TRUCK",500,4.37312," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PBI","United States","ATLANTIC AVIATION-A/ATLANTIC AVIATION-FLORIDA INC/TRUCK",900,4.27312," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PBI","United States","ATLANTIC AVIATION-A/ATLANTIC AVIATION-FLORIDA INC/TRUCK",1750,4.17312," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PBI","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK",1,5.85228," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Overnight Parking is subject to the type of aircraft. A Handling Charge can be expected and the price varies with aircraft type For more information please contact your local fuel logistics team on fuel24@wfscorp.com","22-JAN-2019"
"PBI","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK",501,5.61228," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Overnight Parking is subject to the type of aircraft. A Handling Charge can be expected and the price varies with aircraft type For more information please contact your local fuel logistics team on fuel24@wfscorp.com","22-JAN-2019"
"PBI","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK",1201,5.54228," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available. Overnight Parking is subject to the type of aircraft. A Handling Charge can be expected and the price varies with aircraft type For more information please contact your local fuel logistics team on fuel24@wfscorp.com","22-JAN-2019"
"PDK","United States","EPPS AVIATION-A/EPPS AIR SERVICE INC/",1,5.28004," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Available, Callout fee: none, 24/7 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PDK","United States","ATLANTIC AVIATION-A/MERCURY AIR CENTERS INC/TRUCK",1,5.82075," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Available, Callout fee: none, 24/7 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PDK","United States","ATLANTIC AVIATION-A/MERCURY AIR CENTERS INC/TRUCK",301,5.71975," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Available, Callout fee: none, 24/7 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PDK","United States","ATLANTIC AVIATION-A/MERCURY AIR CENTERS INC/TRUCK",501,5.61875," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Available, Callout fee: none, 24/7 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PDK","United States","ATLANTIC AVIATION-A/MERCURY AIR CENTERS INC/TRUCK",1001,5.51775," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Available, Callout fee: none, 24/7 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PDK","United States","ATLANTIC AVIATION-A/MERCURY AIR CENTERS INC/TRUCK",1501,5.36625," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Available, Callout fee: none, 24/7 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PDK","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK",1,5.21994," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","22-JAN-2019"
"PDK","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK",250,5.21994," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","22-JAN-2019"
"PDK","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK",301,4.96744," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","22-JAN-2019"
"PDK","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK",351,4.96744," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","22-JAN-2019"
"PDK","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK",1001,4.96744," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","22-JAN-2019"
"PDK","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK",1201,4.92704," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","22-JAN-2019"
"PDX","United States","ATLANTIC AVIATION-A/ATLANTIC AVIATION OREGON FBO INC/",1,5.68762," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PDX","United States","ATLANTIC AVIATION-A/ATLANTIC AVIATION OREGON FBO INC/",301,5.53762," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PDX","United States","ATLANTIC AVIATION-A/ATLANTIC AVIATION OREGON FBO INC/",501,5.38762," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PDX","United States","ATLANTIC AVIATION-A/ATLANTIC AVIATION OREGON FBO INC/",1001,5.23762," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PDX","United States","ATLANTIC AVIATION-A/ATLANTIC AVIATION OREGON FBO INC/",1501,5.08762," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PEQ","United States","CROSBY FLYING SERVICES LLC-A/AVFUEL CORP/",1,4.70057," **Price for fuel item: JETA-ADDITIVE **","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Premixed, price included in fuel rate. AVGAS is available. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PEQ","United States","CROSBY FLYING SERVICES LLC-A/AVFUEL CORP/",100,4.65057," **Price for fuel item: JETA-ADDITIVE **","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Premixed, price included in fuel rate. AVGAS is available. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PEQ","United States","CROSBY FLYING SERVICES LLC-A/AVFUEL CORP/",500,4.60057," **Price for fuel item: JETA-ADDITIVE **","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Premixed, price included in fuel rate. AVGAS is available. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PGA","United States","LAKE POWELL JET CENTER-A/AVFUEL CORP/",1,4.15271," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PGA","United States","AMERICAN AVIATION-A/EASTERN AVIATION FUELS INC/",1,3.89991," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Premixed For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PGA","United States","CLASSIC AVIATION INC-A/EPIC AVIATION LLC/",1,3.82346," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Premixed For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PGD","United States","CHARLOTTE COUNT A/P-A/EASTERN AVIATION FUELS INC/TRUCK",1,4.37514," **Price for fuel item: JET FUEL**","N/A","21-JAN-2019"
"PGD","United States","CHARLOTTE COUNT A/P-A/EASTERN AVIATION FUELS INC/PIPELINE",1,4.37514," **Price for fuel item: JET FUEL**","N/A","21-JAN-2019"
"PHF","United States","RICK AVIATION-A/EASTERN AVIATION FUELS INC/",1,4.91732," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: PRIST: Included with JET-A, Callout fee: $55 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHF","United States","ATLANTIC AVIATION-A/MERCURY AIR CENTERS INC/TRUCK",1,5.46262," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PHF","United States","ATLANTIC AVIATION-A/MERCURY AIR CENTERS INC/TRUCK",301,5.26262," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PHF","United States","ATLANTIC AVIATION-A/MERCURY AIR CENTERS INC/TRUCK",601,5.06262," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PHF","United States","ATLANTIC AVIATION-A/MERCURY AIR CENTERS INC/TRUCK",1001,4.96262," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp only 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-JAN-2019"
"PHL","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK",1,6.25481," **Price for fuel item: JET FUEL**","Fueling on FBO ramp and North Apron..........***$ 20.00 SECURITY FEE ON ALL FLIGHTS *** PRIST $.05 PER GAL **** OPEN 24/ 7 HRS","21-JAN-2019"
"PHL","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK",300,6.15481," **Price for fuel item: JET FUEL**","Fueling on FBO ramp and North Apron..........***$ 20.00 SECURITY FEE ON ALL FLIGHTS *** PRIST $.05 PER GAL **** OPEN 24/ 7 HRS","21-JAN-2019"
"PHL","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK",500,5.87481," **Price for fuel item: JET FUEL**","Fueling on FBO ramp and North Apron..........***$ 20.00 SECURITY FEE ON ALL FLIGHTS *** PRIST $.05 PER GAL **** OPEN 24/ 7 HRS","21-JAN-2019"
"PHL","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK",1000,5.45481," **Price for fuel item: JET FUEL**","Fueling on FBO ramp and North Apron..........***$ 20.00 SECURITY FEE ON ALL FLIGHTS *** PRIST $.05 PER GAL **** OPEN 24/ 7 HRS","21-JAN-2019"
"PHL","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK",1500,5.10481," **Price for fuel item: JET FUEL**","Fueling on FBO ramp and North Apron..........***$ 20.00 SECURITY FEE ON ALL FLIGHTS *** PRIST $.05 PER GAL **** OPEN 24/ 7 HRS","21-JAN-2019"
"PHL","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK",2000,4.80481," **Price for fuel item: JET FUEL**","Fueling on FBO ramp and North Apron..........***$ 20.00 SECURITY FEE ON ALL FLIGHTS *** PRIST $.05 PER GAL **** OPEN 24/ 7 HRS","21-JAN-2019"
"PHN","United States","ST. CLAIR COUNTY INTERNATIONAL AIRPORT-A/EASTERN AVIATION FUELS INC/",1,5.12258," **Price for fuel item: JET FUEL**","HRS OF OPERATIONS: 0730-1900 MON THRU SAT & 0900-1700 ON SUN CALL OUT FEE: $70.00 $65.00/ HOUR FOR OVERTIME","21-JAN-2019"
"PHX","United States","CUTTER AVIATION-A/CUTTER AVIATION/",1,3.91577," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Premixed For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHX","United States","CUTTER AVIATION-A/CUTTER AVIATION/",300,3.86577," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Premixed For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHX","United States","CUTTER AVIATION-A/CUTTER AVIATION/",500,3.79577," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Premixed For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHX","United States","CUTTER AVIATION-A/CUTTER AVIATION/",750,3.76577," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Premixed For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHX","United States","CUTTER AVIATION-A/CUTTER AVIATION/",1000,3.71577," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Premixed For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHX","United States","CUTTER AVIATION-A/CUTTER AVIATION/",2000,3.60577," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Premixed For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHX","United States","CUTTER AVIATION-A/CUTTER AVIATION/",3000,3.58577," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Premixed For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHX","United States","SWIFT AVIATION @ FBO-A/WORLD FUEL SERVICES INC/",1,3.79132," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: SWIFT is an Air Elite network FBO. PRIST: Available. If you are obtaining FOS pricing from WFS, please add a flowage fee of 8.70% to the Into-plane fee total. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHX","United States","SWIFT AVIATION @ FBO-A/WORLD FUEL SERVICES INC/",300,3.70972," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: SWIFT is an Air Elite network FBO. PRIST: Available. If you are obtaining FOS pricing from WFS, please add a flowage fee of 8.70% to the Into-plane fee total. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHX","United States","SWIFT AVIATION @ FBO-A/WORLD FUEL SERVICES INC/",500,3.65872," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: SWIFT is an Air Elite network FBO. PRIST: Available. If you are obtaining FOS pricing from WFS, please add a flowage fee of 8.70% to the Into-plane fee total. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHX","United States","SWIFT AVIATION @ FBO-A/WORLD FUEL SERVICES INC/",1000,3.57712," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: SWIFT is an Air Elite network FBO. PRIST: Available. If you are obtaining FOS pricing from WFS, please add a flowage fee of 8.70% to the Into-plane fee total. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PHX","United States","SWIFT AVIATION @ FBO-A/WORLD FUEL SERVICES INC/",2000,3.43432," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: SWIFT is an Air Elite network FBO. PRIST: Available. If you are obtaining FOS pricing from WFS, please add a flowage fee of 8.70% to the Into-plane fee total. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"PIA","United States","BYERLY AVIATION-A/AVFUEL CORP/TRUCK",1,4.87551," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PIA","United States","BYERLY AVIATION-A/AVFUEL CORP/TRUCK",300,4.77551," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PIA","United States","BYERLY AVIATION-A/AVFUEL CORP/TRUCK",500,4.67551," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PIA","United States","BYERLY AVIATION-A/AVFUEL CORP/TRUCK",1000,4.47551," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PIA","United States","BYERLY AVIATION-A/AVFUEL CORP/TRUCK",2000,4.22551," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp/GA 3) Additional Information: PRIST: Available For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-JAN-2019"
"PIB","United States","US AVIATION-A/AVFUEL CORP/",1,4.64323," **Price for fuel item: JET FUEL**","N/A","20-JAN-2019"
"PIB","United States","US AVIATION-A/AVFUEL CORP/",301,4.49323," **Price for fuel item: JET FUEL**","N/A","20-JAN-2019"
"PIB","United States","US AVIATION-A/AVFUEL CORP/",601,4.39323," **Price for fuel item: JET FUEL**","N/A","20-JAN-2019"
"PIB","United States","US AVIATION-A/AVFUEL CORP/",1201,4.24323," **Price for fuel item: JET FUEL**","N/A","20-JAN-2019"
"PIE","United States","SHELTAIR JET CENTER-A/AVFUEL CORP/",1,5.2531," **Price for fuel item: JET FUEL**","HOURS: 0600 to 2300........24 Hour Call Out Service .....///.....ARSI: 131.975","15-JAN-2019"
"PIE","United States","SHELTAIR JET CENTER-A/AVFUEL CORP/",301,5.1731," **Price for fuel item: JET FUEL**","HOURS: 0600 to 2300........24 Hour Call Out Service .....///.....ARSI: 131.975","15-JAN-2019"
"PIE","United States","SHELTAIR JET CENTER-A/AVFUEL CORP/",601,4.9831," **Price for fuel item: JET FUEL**","HOURS: 0600 to 2300........24 Hour Call Out Service .....///.....ARSI: 131.975","15-JAN-2019"
"PIE","United States","SHELTAIR JET CENTER-A/AVFUEL CORP/",1001,4.8831," **Price for fuel item: JET FUEL**","HOURS: 0600 to 2300........24 Hour Call Out Service .....///.....ARSI: 131.975","15-JAN-2019"
"PIE","United States","SHELTAIR JET CENTER-A/AVFUEL CORP/",1501,4.7831," **Price for fuel item: JET FUEL**","HOURS: 0600 to 2300........24 Hour Call Out Service .....///.....ARSI: 131.975","15-JAN-2019"
"PIE","United States","SHELTAIR JET CENTER-A/AVFUEL CORP/",2001,4.5531," **Price for fuel item: JET FUEL**","HOURS: 0600 to 2300........24 Hour Call Out Service .....///.....ARSI: 131.975","15-JAN-2019"
